company_id,company_name,domain,country,industry,employee_range,track,signal,signal_url,signal_date,pain_hypothesis,technology_signal,priority,score,research_notes,created_at
A001,Intercom,intercom.com,Ireland/US,B2B SaaS,5001-10000,ai_production_rescue,AI customer service platform and Fin AI agent positioning,https://www.intercom.com/,2026-08-16,Their AI support workflows likely need production evaluation and escalation controls as enterprise usage grows.,AI agent/customer support automation,medium,72,Large company; procurement may be heavier but AI signal is strong.,2026-08-16
A002,Ada,ada.cx,Canada,B2B SaaS,201-500,ai_production_rescue,AI customer service automation positioning,https://www.ada.cx/,2026-08-16,Their AI customer support automation likely needs reliability proof and observability for enterprise buyers.,AI customer service automation,high,78,Strong AI-first positioning.,2026-08-16
A003,Glean,glean.com,US,B2B SaaS,501-1000,ai_production_rescue,Enterprise AI search and assistant positioning,https://www.glean.com/,2026-08-16,Their enterprise assistant workflows likely require measurable retrieval quality and access-control safeguards.,Enterprise AI search,high,80,Strong AI product and enterprise buyer fit.,2026-08-16
A004,Writer,writer.com,US,B2B SaaS,501-1000,ai_production_rescue,Enterprise generative AI platform positioning,https://writer.com/,2026-08-16,Their enterprise AI workflows likely need evaluation and governance evidence for regulated buyers.,Enterprise generative AI,high,76,Strong signal; may already have mature AI infrastructure.,2026-08-16
A005,Harvey,harvey.ai,US,Legal tech,201-500,ai_production_rescue,AI for legal work positioning,https://www.harvey.ai/,2026-08-16,Legal AI workflows likely need strong hallucination controls and auditability.,Legal AI,medium,70,Strong AI signal; mature internal team likely.,2026-08-16
A006,Hebbia,hebbia.ai,US,AI software,51-200,ai_production_rescue,AI analyst/productivity product positioning,https://www.hebbia.ai/,2026-08-16,Document analysis workflows likely need repeatable evaluation and source-grounding checks.,AI document analysis,high,74,Good AI workflow fit.,2026-08-16
A007,Sierra,sierra.ai,US,B2B SaaS,201-500,ai_production_rescue,AI agents for customer experience positioning,https://sierra.ai/,2026-08-16,Customer-facing agents likely need measurable failure handling and escalation boundaries.,AI agents,medium,72,Strong signal; mature AI team likely.,2026-08-16
A008,Moveworks,moveworks.com,US,B2B SaaS,1001-5000,ai_production_rescue,AI copilot for enterprise support positioning,https://www.moveworks.com/,2026-08-16,Enterprise support copilot workflows likely need tool-call reliability and observability.,Enterprise AI copilot,medium,68,Large enterprise sales target; useful benchmark lead.,2026-08-16
A009,Aisera,aisera.com,US,B2B SaaS,201-500,ai_production_rescue,AI service experience platform positioning,https://aisera.com/,2026-08-16,Service automation workflows likely need evaluation and failure-mode tracking as integrations grow.,AI service automation,high,74,Good AI operations fit.,2026-08-16
A010,Forethought,forethought.ai,US,B2B SaaS,51-200,ai_production_rescue,AI support automation positioning,https://forethought.ai/,2026-08-16,Support automation likely needs measurable answer quality and escalation design.,AI support automation,high,73,Good buyer fit if technical leader identifiable.,2026-08-16
A011,Sana,sana.ai,Sweden,B2B SaaS,201-500,ai_production_rescue,AI learning and knowledge assistant positioning,https://sana.ai/,2026-08-16,Knowledge assistant workflows likely need retrieval evaluation and permissions testing.,AI knowledge assistant,high,72,EU angle; strong AI signal.,2026-08-16
A012,Notion,notion.so,US,B2B SaaS,501-1000,ai_production_rescue,Notion AI product positioning,https://www.notion.so/product/ai,2026-08-16,AI productivity features likely need evaluation of enterprise data access and reliability.,AI productivity,medium,66,Large brand; likely mature process.,2026-08-16
A013,Miro,miro.com,Netherlands/US,B2B SaaS,1001-5000,ai_production_rescue,AI features in collaboration product,https://miro.com/,2026-08-16,AI collaboration workflows likely need measurable quality and governance for enterprise accounts.,AI collaboration features,medium,66,Large target; enterprise procurement likely.,2026-08-16
A014,Asana,asana.com,US,B2B SaaS,1001-5000,ai_production_rescue,AI work management features,https://asana.com/,2026-08-16,Work management AI features likely need production evaluation around recommendations and automation.,AI work management,medium,65,Large target; useful for enterprise message testing.,2026-08-16
A015,ClickUp,clickup.com,US,B2B SaaS,1001-5000,ai_production_rescue,AI work assistant positioning,https://clickup.com/,2026-08-16,AI assistant workflows likely need latency and quality measurement as usage grows.,AI productivity assistant,medium,66,Large but visible AI fit.,2026-08-16
A016,Sourcegraph,sourcegraph.com,US,Developer tools,201-500,ai_production_rescue,AI coding assistant Cody positioning,https://sourcegraph.com/,2026-08-16,Code assistant workflows likely need evals across repositories and secure context access.,AI coding assistant,high,75,Strong technical buyer fit.,2026-08-16
A017,Replit,replit.com,US,Developer tools,201-500,ai_production_rescue,AI software creation features,https://replit.com/,2026-08-16,Agentic software workflows likely need sandboxing and failure recovery before enterprise use.,AI software agent,medium,70,Strong AI but broad market.,2026-08-16
A018,Dust,dust.tt,France,AI software,11-50,ai_production_rescue,AI assistants for teams positioning,https://dust.tt/,2026-08-16,Team assistant workflows likely need connector reliability and permission boundary testing.,AI assistants,high,76,Small EU AI company; good fit.,2026-08-16
A019,LangChain,langchain.com,US,Developer tools,51-200,ai_production_rescue,LLM app development and observability ecosystem,https://www.langchain.com/,2026-08-16,LLM workflow users likely need production evaluation patterns and reliability services.,LLM tooling,medium,68,Mature domain; partnership or content angle.,2026-08-16
A020,Vanta,vanta.com,US,B2B SaaS,501-1000,ai_production_rescue,AI and trust management positioning,https://www.vanta.com/,2026-08-16,AI-enabled trust workflows likely need reliable evidence generation and auditability.,Compliance automation with AI,medium,66,Could fit AI or CRA messaging.,2026-08-16
A021,Gong,gong.io,US,B2B SaaS,1001-5000,ai_production_rescue,AI revenue intelligence platform,https://www.gong.io/,2026-08-16,AI-generated sales insights likely need evaluation and explainability for enterprise adoption.,AI revenue intelligence,medium,65,Large and mature.,2026-08-16
A022,Clari,clari.com,US,B2B SaaS,501-1000,ai_production_rescue,AI revenue platform positioning,https://www.clari.com/,2026-08-16,Forecasting and AI workflow features likely need reliability testing and workflow observability.,AI revenue workflows,medium,65,Large target; message carefully.,2026-08-16
A023,Synthesia,synthesia.io,UK,AI media,501-1000,ai_production_rescue,AI video generation platform,https://www.synthesia.io/,2026-08-16,AI media generation workflows likely need enterprise controls and quality assurance.,AI video,medium,66,Not ideal for backend workflow but strong AI signal.,2026-08-16
A024,Runway,runwayml.com,US,AI media,201-500,ai_production_rescue,AI creative platform positioning,https://runwayml.com/,2026-08-16,Creative AI workflows likely need production-grade cost and reliability controls for business customers.,AI media generation,medium,64,Below ideal ICP but useful AI segment test.,2026-08-16
A025,ElevenLabs,elevenlabs.io,UK/US,AI audio,201-500,ai_production_rescue,AI audio platform positioning,https://elevenlabs.io/,2026-08-16,Voice AI workflows likely need safety boundaries and production monitoring for enterprise use.,AI audio,medium,68,Strong AI signal.,2026-08-16
A026,Descript,descript.com,US,AI media,201-500,ai_production_rescue,AI editing features,https://www.descript.com/,2026-08-16,AI editing workflows likely need reliability and review mechanisms for teams.,AI content editing,medium,64,May be less backend-heavy.,2026-08-16
A027,Jasper,jasper.ai,US,B2B SaaS,201-500,ai_production_rescue,AI marketing platform positioning,https://www.jasper.ai/,2026-08-16,Enterprise AI content workflows likely need governance and output quality evaluation.,AI marketing,medium,66,Good for governance framing.,2026-08-16
A028,Copy.ai,copy.ai,US,B2B SaaS,51-200,ai_production_rescue,AI GTM platform positioning,https://www.copy.ai/,2026-08-16,Agentic GTM workflows likely need structured outputs and failure monitoring.,AI GTM automation,high,70,Good agent reliability angle.,2026-08-16
A029,Retool,retool.com,US,B2B SaaS,201-500,ai_production_rescue,AI features for internal tools,https://retool.com/,2026-08-16,Internal AI apps likely need production guardrails, permissioning, and observability.,AI internal tools,high,72,Strong technical buyer fit.,2026-08-16
A030,Stack AI,stack-ai.com,US,AI software,11-50,ai_production_rescue,AI workflow platform positioning,https://www.stack-ai.com/,2026-08-16,Workflow automation customers likely need evals and monitoring across agents and tools.,AI workflow automation,high,73,Small AI company; potential service/partnership fit.,2026-08-16
B001,Flexport,flexport.com,US,Freight forwarding,1001-5000,logistics_automation,Freight forwarding and logistics platform,https://www.flexport.com/,2026-08-16,Document-heavy shipment operations likely create automation opportunities around exceptions and data entry.,Freight platform,medium,64,Large target; useful benchmark.,2026-08-16
B002,Forto,forto.com,Germany,Freight forwarding,501-1000,logistics_automation,Digital freight forwarding positioning,https://forto.com/,2026-08-16,Freight operations likely include repetitive shipment document handling and customer communication.,Digital freight,high,72,EU digital freight forwarder.,2026-08-16
B003,sennder,sennder.com,Germany,Road freight,501-1000,logistics_automation,Digital road freight forwarding,https://www.sennder.com/,2026-08-16,Road freight workflows likely include manual exception handling and carrier/customer email loops.,Digital road freight,high,70,Good operations buyer fit.,2026-08-16
B004,Zencargo,zencargo.com,UK,Freight forwarding,201-500,logistics_automation,Digital freight forwarding and supply chain platform,https://www.zencargo.com/,2026-08-16,Shipment coordination likely includes document extraction and status update workflows.,Digital freight,high,72,Good message fit.,2026-08-16
B005,Freightos,freightos.com,Israel/Global,Freight marketplace,201-500,logistics_automation,Digital freight booking marketplace,https://www.freightos.com/,2026-08-16,Freight quote and booking workflows likely require structured document and message processing.,Freight marketplace,medium,66,Marketplace rather than operator.,2026-08-16
B006,Shippeo,shippeo.com,France,Supply chain visibility,201-500,logistics_automation,Real-time transportation visibility platform,https://www.shippeo.com/,2026-08-16,Visibility workflows likely rely on data quality and exception handling across transport documents.,Supply chain visibility,medium,65,May be more SaaS partner than buyer.,2026-08-16
B007,Transporeon,transporeon.com,Germany,Transportation management,1001-5000,logistics_automation,Transportation management platform,https://www.transporeon.com/,2026-08-16,Transport management workflows likely need document classification and exception automation at scale.,TMS platform,medium,62,Large mature platform.,2026-08-16
B008,project44,project44.com,US,Supply chain visibility,1001-5000,logistics_automation,Supply chain visibility platform,https://www.project44.com/,2026-08-16,Shipment visibility data workflows likely need automation around exceptions and integrations.,Visibility platform,medium,60,Large mature platform.,2026-08-16
B009,FourKites,fourkites.com,US,Supply chain visibility,1001-5000,logistics_automation,Supply chain visibility platform,https://www.fourkites.com/,2026-08-16,Visibility platform operations likely involve document and exception handling workflows.,Visibility platform,medium,60,Large mature platform.,2026-08-16
B010,cargo.one,cargo.one,Germany,Air freight marketplace,51-200,logistics_automation,Air freight booking platform,https://www.cargo.one/,2026-08-16,Air cargo quote and booking workflows likely involve repetitive document and request processing.,Air freight platform,high,68,Good digital freight angle.,2026-08-16
B011,Beacon,beacon.com,UK,Freight forwarding,51-200,logistics_automation,Digital freight forwarding platform,https://www.beacon.com/,2026-08-16,Digital forwarding operations likely need automation around emails, shipping docs, and exception queues.,Digital freight,high,72,Good employee range and workflow fit.,2026-08-16
B012,Ligentia,ligentia.com,UK,Freight forwarding,501-1000,logistics_automation,Freight forwarding and supply chain management,https://www.ligentia.com/,2026-08-16,Global forwarding workflows likely include manual document processing and customer update loops.,Freight forwarding,high,68,Potential operations buyer.,2026-08-16
B013,Maurice Ward Group,mauriceward.com,Ireland,Freight forwarding,201-500,logistics_automation,International logistics and freight forwarding,https://mauriceward.com/,2026-08-16,Forwarding workflows likely include repetitive shipment document intake and validation.,Freight forwarding,high,69,Good regional logistics target.,2026-08-16
B014,Davies Turner,daviesturner.com,UK,Freight forwarding,201-500,logistics_automation,Freight and logistics services,https://www.daviesturner.com/,2026-08-16,Operational teams likely manage high volumes of shipment documents and email updates.,Freight forwarding,high,68,Good workflow hypothesis.,2026-08-16
B015,Scan Global Logistics,scangl.com,Denmark,Freight forwarding,1001-5000,logistics_automation,Global logistics provider,https://www.scangl.com/,2026-08-16,Global forwarding likely creates document-heavy operational processes with exception handling.,Freight forwarding,medium,64,Large but relevant.,2026-08-16
