outreach_id,company_id,contact_id,track,channel,message_variant,personalization,sent_at,reply,reply_type,next_action,followup_at,experiment_id
O-A001,A001,CT-A001,ai_production_rescue,email,A1,"References Intercom's AI customer service positioning and asks whether production evals/tool failure tracking are already covered.",,,,"review owner voice; verify buyer",,EXP-A-001
O-A002,A002,CT-A002,ai_production_rescue,email,A1,"References Ada's AI customer service automation and proposes a narrow reliability audit around escalation and answer quality.",,,,"review owner voice; verify buyer",,EXP-A-001
O-A003,A003,CT-A003,ai_production_rescue,email,A1,"References Glean's enterprise AI search/assistant positioning and focuses on retrieval evaluation plus permissions.",,,,"review owner voice; verify buyer",,EXP-A-001
O-A004,A004,CT-A004,ai_production_rescue,email,A1,"References Writer's enterprise generative AI positioning and focuses on governance evidence and workflow evals.",,,,"review owner voice; verify buyer",,EXP-A-001
O-A005,A005,CT-A005,ai_production_rescue,email,A1,"References Harvey's legal AI domain and focuses on hallucination controls, auditability, and source grounding.",,,,"review owner voice; verify buyer",,EXP-A-001
O-A006,A006,CT-A006,ai_production_rescue,email,A1,"References Hebbia's document-analysis workflow and offers an eval/failure-mode teardown.",,,,"review owner voice; verify buyer",,EXP-A-001
O-A007,A007,CT-A007,ai_production_rescue,email,A1,"References Sierra's customer-facing agents and focuses on escalation boundaries and observability.",,,,"review owner voice; verify buyer",,EXP-A-001
O-A008,A008,CT-A008,ai_production_rescue,email,A1,"References Moveworks enterprise support copilot and focuses on tool-call reliability.",,,,"review owner voice; verify buyer",,EXP-A-001
O-A009,A009,CT-A009,ai_production_rescue,email,A1,"References Aisera service automation and focuses on measurable workflow failures.",,,,"review owner voice; verify buyer",,EXP-A-001
O-A010,A010,CT-A010,ai_production_rescue,email,A1,"References Forethought support automation and focuses on answer quality measurement.",,,,"review owner voice; verify buyer",,EXP-A-001
O-A011,A011,CT-A011,ai_production_rescue,email,A1,"References Sana's AI knowledge assistant and focuses on retrieval quality and access boundaries.",,,,"review owner voice; verify buyer",,EXP-A-001
O-A012,A016,CT-A016,ai_production_rescue,email,A1,"References Sourcegraph/Cody-style code assistant workflows and asks about evals across real repositories.",,,,"review owner voice; verify buyer",,EXP-A-001
O-B001,B002,CT-B002,logistics_automation,email,B1,"References Forto's digital freight forwarding and asks about automating document/email exception workflows.",,,,"review owner voice; verify buyer",,EXP-B-001
O-B002,B003,CT-B003,logistics_automation,email,B1,"References sennder's road freight operations and asks about repetitive carrier/customer email loops.",,,,"review owner voice; verify buyer",,EXP-B-001
O-B003,B004,CT-B004,logistics_automation,email,B1,"References Zencargo's supply chain operations and offers a workflow map around shipment documents.",,,,"review owner voice; verify buyer",,EXP-B-001
O-B004,B010,CT-B010,logistics_automation,email,B1,"References cargo.one air freight booking workflows and asks about quote/request extraction.",,,,"review owner voice; verify buyer",,EXP-B-001
O-B005,B011,CT-B011,logistics_automation,email,B1,"References Beacon's digital forwarding and focuses on shipping docs and exception queue automation.",,,,"review owner voice; verify buyer",,EXP-B-001
O-B006,B013,CT-B013,logistics_automation,email,B1,"References Maurice Ward international forwarding and proposes mapping one document-heavy workflow.",,,,"review owner voice; verify buyer",,EXP-B-001
O-C001,C001,CT-C001,cra_engineering_readiness,email,C1,"References Shelly's connected-device product category and positions CRA as engineering readiness, not legal advice.",,,,"verify official CRA wording and buyer",,EXP-C-001
O-C002,C002,CT-C002,cra_engineering_readiness,email,C1,"References Teltonika Networks' network products and focuses on vulnerability intake, SBOM, and incident workflow.",,,,"verify official CRA wording and buyer",,EXP-C-001
O-C003,C004,CT-C004,cra_engineering_readiness,email,C1,"References Paxton connected access-control products and focuses on reporting workflow and evidence trail.",,,,"verify official CRA wording and buyer",,EXP-C-001
O-C004,C008,CT-C008,cra_engineering_readiness,email,C1,"References AVM networking products and focuses on product-security evidence and vulnerability workflow.",,,,"verify official CRA wording and buyer",,EXP-C-001
O-C005,C010,CT-C010,cra_engineering_readiness,email,C1,"References AnyDesk remote-access software and focuses on vulnerability handling workflow readiness.",,,,"verify official CRA wording and buyer",,EXP-C-001
O-C006,C017,CT-C017,cra_engineering_readiness,email,C1,"References The Things Industries IoT platform and focuses on incident reporting workflow and evidence.",,,,"verify official CRA wording and buyer",,EXP-C-001
